"scenario_id","hh_type","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"dryhot","h-hh1_rur",-0.01429175,-0.0084348,-0.00631095,-0.00305895,-0.0104106,-0.00300456,-0.01501906,-0.01865048,-0.01647381,-0.00682432,-0.02626419,-0.02062337,-0.01946606,-0.02207669,-0.02630551,-0.01624293,-0.01986393,-0.02119584,-0.02537558,-0.03243475,-0.03617829,-0.04065379,-0.03861127,-0.04129766,-0.03763669,-0.02720651,-0.02110938
"dryhot","h-hh2_rur",-0.0121982,-0.00842144,-0.00698406,-0.00411601,-0.01029407,-0.00420784,-0.01437235,-0.01840747,-0.01744984,-0.00939893,-0.0256685,-0.02205844,-0.02144279,-0.02383659,-0.02775558,-0.01957392,-0.02212068,-0.02309436,-0.02665642,-0.03306962,-0.0370527,-0.04181332,-0.04107165,-0.04390532,-0.04130687,-0.03243802,-0.02630827
"dryhot","h-hh3_rur",-0.01135329,-0.00885224,-0.00771898,-0.00503342,-0.01052323,-0.00514663,-0.01452143,-0.01898133,-0.01863436,-0.01130199,-0.025954,-0.02338791,-0.02303769,-0.02524643,-0.0290171,-0.02163337,-0.02353864,-0.02427305,-0.02757082,-0.03378669,-0.0382818,-0.04340456,-0.04339632,-0.04633581,-0.04423493,-0.03583405,-0.02912178
"dryhot","h-hh4_rur",-0.01019768,-0.00876224,-0.00802235,-0.00564025,-0.01051781,-0.00590512,-0.01423953,-0.01887873,-0.01918077,-0.01279603,-0.02568823,-0.02421104,-0.024113,-0.02620845,-0.02978017,-0.0235314,-0.02489104,-0.02547487,-0.02843041,-0.03422515,-0.03874112,-0.0438927,-0.04458793,-0.04757936,-0.04607608,-0.03871676,-0.0322885
"dryhot","h-hh5_rur",-0.01126372,-0.01109791,-0.01042165,-0.00778464,-0.01241228,-0.00795528,-0.01660122,-0.02240894,-0.02330061,-0.01679688,-0.02916036,-0.02860801,-0.02874424,-0.03067368,-0.03436695,-0.02812835,-0.02872279,-0.02894563,-0.03187467,-0.03808558,-0.04398987,-0.05020946,-0.05180502,-0.05514663,-0.05395741,-0.04603591,-0.03758157
"dryhot","h-hh1_urb",-0.01312697,-0.00896968,-0.00738654,-0.00443939,-0.01101288,-0.00453679,-0.01536338,-0.01958975,-0.01841474,-0.00983945,-0.02706355,-0.0230485,-0.02222236,-0.0246504,-0.02867419,-0.02001833,-0.0227312,-0.02377054,-0.02750811,-0.03414532,-0.03825444,-0.0430559,-0.04216432,-0.0450251,-0.04221581,-0.03296865,-0.02671795
"dryhot","h-hh2_urb",-0.01139325,-0.0097401,-0.0089071,-0.00630193,-0.01163508,-0.00658475,-0.01560021,-0.02057626,-0.02084654,-0.01395401,-0.02772663,-0.02609021,-0.02589388,-0.02807908,-0.03180472,-0.02518723,-0.02659336,-0.02719259,-0.03027103,-0.03633035,-0.04101192,-0.04634262,-0.04706227,-0.05017234,-0.04857705,-0.04092178,-0.03427748
"dryhot","h-hh3_urb",-0.01002689,-0.00972875,-0.00940539,-0.00727274,-0.01186394,-0.00779796,-0.01559787,-0.02084198,-0.02187479,-0.01614983,-0.02783715,-0.02747357,-0.02753016,-0.02957304,-0.03304721,-0.02781643,-0.0286008,-0.02905721,-0.03175071,-0.03730311,-0.04203599,-0.04735318,-0.04891443,-0.05207853,-0.05118127,-0.04480577,-0.03861274
"dryhot","h-hh4_urb",-0.00989343,-0.01018645,-0.0099787,-0.00786707,-0.0121938,-0.00840125,-0.01595141,-0.02146876,-0.02279678,-0.01733367,-0.02836448,-0.02849176,-0.0286932,-0.03066302,-0.03410422,-0.02917714,-0.02965107,-0.02998373,-0.03257651,-0.0381042,-0.04316041,-0.04872968,-0.05065468,-0.05390306,-0.05322919,-0.0469748,-0.04036506
"dryhot","h-hh5_urb",-0.01016852,-0.01122764,-0.01108196,-0.00891391,-0.01297578,-0.00941049,-0.0169501,-0.02301884,-0.02467393,-0.01929859,-0.02981045,-0.03047941,-0.03083148,-0.03269963,-0.03617137,-0.03135912,-0.0314196,-0.03156705,-0.03412701,-0.03983512,-0.04561898,-0.05172104,-0.0541416,-0.05756565,-0.0570836,-0.0506034,-0.04297248
"wetwarm","h-hh1_rur",-0.03472688,-0.00048184,0.01565219,0.00055148,0.00201674,-0.0083968,-0.01202342,-0.02035888,-0.008172,-0.01262147,0.00101186,0.00285829,-0.00028463,-0.00368909,0.00324733,-0.00618532,-0.00776604,-0.01654322,-0.01173866,-0.01190051,-0.01350506,-0.00835195,-0.00419402,-0.00887808,-0.01043431,-0.0015019,-0.0093383
"wetwarm","h-hh2_rur",-0.03005435,-0.00347457,0.01163259,0.00074735,0.00232178,-0.00652227,-0.01049821,-0.01878045,-0.0095515,-0.01333105,-0.00176722,0.00091434,-0.00084689,-0.00338765,0.00266378,-0.00489692,-0.00663195,-0.01465073,-0.01156374,-0.01207995,-0.01373876,-0.00960505,-0.0057856,-0.00930705,-0.01064074,-0.00303802,-0.00910801
"wetwarm","h-hh3_rur",-0.02777931,-0.00555413,0.00960835,0.00132866,0.00308066,-0.0049798,-0.00939541,-0.01799131,-0.01041617,-0.01379568,-0.00307488,0.00038058,-0.00046739,-0.00239041,0.0031582,-0.00331767,-0.00524686,-0.01300868,-0.01099926,-0.01163953,-0.01341774,-0.00971117,-0.00588388,-0.00861923,-0.0098024,-0.00271884,-0.00772031
"wetwarm","h-hh4_rur",-0.02509426,-0.00695133,0.00730271,0.00114797,0.00287707,-0.00429752,-0.00879981,-0.01721414,-0.01122212,-0.01422423,-0.00473704,-0.00097945,-0.00115146,-0.00264348,0.00239768,-0.00307243,-0.00501326,-0.01223797,-0.01108691,-0.01194072,-0.01368953,-0.0106062,-0.00706767,-0.00923437,-0.01030321,-0.00406552,-0.00816178
"wetwarm","h-hh5_rur",-0.02699152,-0.01086466,0.00651937,0.00276765,0.00510214,-0.00219375,-0.008065,-0.01821516,-0.0135056,-0.01627989,-0.00642213,-0.0009608,0.00014333,-0.00057085,0.00431423,-0.00027511,-0.00276555,-0.01053382,-0.01071287,-0.01167032,-0.01381539,-0.01078441,-0.00667808,-0.00786933,-0.00880228,-0.00240058,-0.00538409
"wetwarm","h-hh1_urb",-0.03200279,-0.00340458,0.01237893,0.00058616,0.00218663,-0.00719512,-0.01128989,-0.01991138,-0.0099504,-0.01387971,-0.00160033,0.00110783,-0.00086108,-0.00356489,0.00276856,-0.00522815,-0.00696803,-0.0152358,-0.01185215,-0.01233982,-0.01400743,-0.00966781,-0.00572379,-0.00945965,-0.01084322,-0.00293734,-0.00935353
"wetwarm","h-hh2_urb",-0.02793658,-0.00769594,0.00791238,0.00107,0.00291646,-0.00490988,-0.00974567,-0.01876451,-0.01223816,-0.01541816,-0.00524536,-0.00126683,-0.00146684,-0.00306488,0.00229585,-0.00351063,-0.00552248,-0.01309524,-0.01184358,-0.01275973,-0.01455884,-0.01134578,-0.00766232,-0.00996114,-0.01108294,-0.00459848,-0.00891271
"wetwarm","h-hh3_urb",-0.02446812,-0.00945066,0.00485824,0.00064733,0.00242584,-0.00430597,-0.00923738,-0.01801777,-0.01339277,-0.01610368,-0.00741142,-0.00310949,-0.00252793,-0.00360611,0.00112806,-0.00347967,-0.00547217,-0.01234351,-0.01208967,-0.01326883,-0.01500737,-0.01256277,-0.00925917,-0.01091883,-0.01191161,-0.0064661,-0.00976271
"wetwarm","h-hh4_urb",-0.02399521,-0.01067361,0.00408174,0.00103924,0.00294991,-0.0035303,-0.00878434,-0.0178722,-0.01400476,-0.01655673,-0.0081532,-0.00339751,-0.00234429,-0.00311329,0.00141817,-0.00269742,-0.00482068,-0.01166471,-0.01194712,-0.01318593,-0.01501333,-0.01273284,-0.00937056,-0.01064325,-0.01156923,-0.00629611,-0.00908772
"wetwarm","h-hh5_urb",-0.02420736,-0.01261891,0.00346111,0.0019135,0.00410747,-0.00225899,-0.00817098,-0.01803189,-0.01501889,-0.01739807,-0.00898638,-0.00338139,-0.00163001,-0.00194281,0.00241677,-0.00113677,-0.00352973,-0.01057454,-0.01160082,-0.01289142,-0.01491973,-0.01270515,-0.00908124,-0.00981214,-0.01066042,-0.00536245,-0.00753529
"nzs","h-hh1_rur",-0.0008668,-0.00081779,-0.00347681,-0.00363794,-0.00376658,-0.00516189,-0.00815285,-0.01007216,-0.0106108,-0.013325,-0.01241833,-0.01333127,-0.0155004,-0.01941345,-0.02097209,-0.02243339,-0.02411876,-0.026642,-0.02649109,-0.02794899,-0.02775614,-0.02675407,-0.02526779,-0.02558869,-0.02656459,-0.02565269,-0.02275945
"nzs","h-hh2_rur",-0.00093467,-0.00096042,-0.00286475,-0.00291186,-0.00295193,-0.00388096,-0.00597727,-0.00726782,-0.00753983,-0.00953928,-0.00840902,-0.00915612,-0.01110765,-0.01455721,-0.01619965,-0.01770784,-0.01926022,-0.02141683,-0.02144306,-0.02268076,-0.02229769,-0.02155483,-0.02039524,-0.02065057,-0.02142448,-0.0207619,-0.01859693
"nzs","h-hh3_rur",-0.00078397,-0.00078168,-0.00205611,-0.00192718,-0.00170957,-0.00200737,-0.00330016,-0.00405624,-0.00393107,-0.0053325,-0.00381653,-0.00422191,-0.00560809,-0.00835851,-0.00965599,-0.0106357,-0.01148902,-0.01305368,-0.0126379,-0.01331449,-0.01254408,-0.01185725,-0.01045287,-0.01029633,-0.01084235,-0.01018407,-0.00827755
"nzs","h-hh4_rur",-0.00080359,-0.00082667,-0.00170307,-0.00150804,-0.00116706,-0.0011806,-0.00197829,-0.00239058,-0.00213549,-0.00316207,-0.00153027,-0.00182538,-0.00298756,-0.00527934,-0.00644668,-0.00737811,-0.0080105,-0.00927522,-0.0087832,-0.00922125,-0.00844472,-0.00804255,-0.00689994,-0.00671826,-0.00721048,-0.0067068,-0.00523519
"nzs","h-hh5_rur",-0.00057068,-0.00054633,-0.00066041,-0.0001085,0.00070402,0.00179046,0.00208515,0.00248168,0.00354094,0.00326746,0.00580609,0.00606228,0.00582434,0.00448498,0.00405508,0.00435843,0.00528859,0.00505936,0.00687051,0.00759925,0.00951296,0.01005204,0.01236341,0.01365681,0.01362738,0.01459016,0.01623557
"nzs","h-hh1_urb",-0.00089462,-0.00084642,-0.00271272,-0.00269451,-0.00252797,-0.00335276,-0.00548307,-0.00690393,-0.0072078,-0.00922322,-0.0079609,-0.00862271,-0.01046395,-0.01376268,-0.01516592,-0.01661755,-0.01784544,-0.01986482,-0.01953565,-0.02058263,-0.02006022,-0.01923874,-0.01790912,-0.01791577,-0.01858499,-0.01776683,-0.01543884
"nzs","h-hh2_urb",-0.00080537,-0.00073246,-0.00156673,-0.00127174,-0.00072557,-0.00062546,-0.00139236,-0.00186975,-0.00162544,-0.002656,-0.00086048,-0.00111864,-0.00222616,-0.00441924,-0.00547325,-0.00643171,-0.00687857,-0.00805772,-0.007346,-0.00764267,-0.00682294,-0.00649025,-0.00536295,-0.0051128,-0.00562851,-0.00509984,-0.00359771
"nzs","h-hh3_urb",-0.00071957,-0.00064584,-0.00098381,-0.00058225,0.00023226,0.00079415,0.00079104,0.00088766,0.00141582,0.00094525,0.00292759,0.00297713,0.00251447,0.00134433,0.00075595,0.00013764,0.00015162,-0.00051894,0.00045305,0.00059666,0.00115128,0.00086921,0.00144571,0.00152094,0.00081328,0.00087219,0.00161503
"nzs","h-hh4_urb",-0.00061616,-0.00049819,-0.00052525,1.38e-06,0.00097584,0.00190659,0.00232321,0.00269289,0.00343696,0.00322482,0.00543507,0.00563374,0.00542293,0.00454449,0.00411242,0.00381103,0.00420753,0.0038267,0.00508358,0.00552868,0.00631926,0.00598169,0.00676636,0.00707205,0.0064509,0.00654962,0.00723543
"nzs","h-hh5_urb",-0.0004796,-0.00038967,-4.662e-05,0.00063556,0.00182401,0.00334322,0.00438704,0.00531566,0.00658747,0.00684717,0.00954833,0.01011749,0.01061613,0.01051502,0.01067028,0.01123019,0.01259876,0.01288575,0.01495227,0.01612241,0.01744016,0.01705494,0.0183919,0.01921369,0.01873343,0.01897916,0.01965178
